Meetwaarden kleursensor (300x met telkens 1 sec tussen):

sudo+ssh://pi@192.168.0.1:22/usr/bin/python3 -u /home/pi/Po2/Kleurensensor.py
(41, 30, 26, 64)
(41, 30, 26, 64)
(45, 33, 28, 71)
(47, 33, 29, 72)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 33, 29, 72)
(47, 33, 29, 73)
(45, 33, 29, 71)
(45, 33, 29, 71)
(45, 33, 29, 72)
(45, 33, 29, 72)
(45, 33, 29, 71)
(45, 33, 29, 72)
(45, 33, 29, 71)
(45, 33, 29, 71)
(45, 33, 29, 71)
(45, 33, 29, 72)
(46, 33, 29, 72)
(45, 33, 29, 72)
(45, 33, 29, 72)
(45, 33, 29, 71)
(46, 33, 29, 71)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 33, 29, 73)
(47, 34, 30, 74)
(47, 34, 29, 73)
(47, 34, 30, 74)
(47, 34, 30, 74)
(47, 34, 30, 73)
(47, 34, 29, 73)
(47, 34, 30, 73)
(47, 34, 30, 73)
(47, 33, 29, 73)
(47, 33, 29, 73)
(48, 34, 30, 77)
(49, 35, 30, 77)
(49, 35, 31, 77)
(49, 35, 31, 77)
(49, 35, 31, 78)
(49, 35, 31, 78)
(49, 35, 31, 77)
(49, 35, 31, 77)
(45, 35, 30, 73)
(45, 35, 30, 74)
(45, 35, 30, 74)
(45, 35, 30, 74)
(45, 35, 30, 73)
(45, 35, 30, 74)
(46, 35, 30, 73)
(45, 35, 30, 74)
(45, 35, 30, 74)
(45, 35, 30, 74)
(45, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(45, 35, 30, 74)
(46, 35, 30, 74)
(45, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 75)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 75)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 74)
(46, 35, 30, 75)
(46, 35, 31, 74)
(46, 35, 30, 75)
(46, 35, 30, 75)
(46, 35, 30, 74)
(50, 35, 31, 78)
(50, 36, 31, 79)
(50, 35, 31, 79)
(50, 35, 31, 79)
(50, 35, 31, 79)
(50, 35, 31, 78)
(50, 35, 31, 78)
(50, 36, 31, 79)
(50, 36, 31, 78)
(50, 36, 31, 79)
(50, 35, 31, 79)
(50, 36, 31, 78)
(50, 35, 31, 78)
(50, 36, 31, 79)
(50, 36, 31, 78)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 35, 31, 78)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 78)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 78)
(46, 36, 31, 75)
(47, 36, 31, 75)
(46, 36, 31, 75)
(47, 36, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(47, 36, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(47, 36, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(50, 36, 31, 79)
(46, 36, 31, 75)
(46, 35, 31, 75)
(46, 35, 31, 75)
(46, 36, 31, 75)
(46, 35, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(46, 35, 31, 75)
(46, 36, 31, 75)
(46, 35, 31, 75)
(46, 35, 31, 75)
(46, 35, 31, 75)
(46, 35, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(46, 35, 31, 75)
(46, 36, 31, 75)
(46, 35, 31, 75)
(46, 36, 31, 75)
(46, 36, 31, 75)
(46, 35, 31, 75)
^CTraceback (most recent call last):
  File "/home/pi/Po2/Kleurensensor.py", line 51, in <module>
    time.sleep(1)
KeyboardInterrupt

Process finished with exit code 1
